Column1,Column2,Column3,Column4,Column5,Column6
手首,手[て]首[くび],wrist,,,
凸凹,でこぼこ,"unevenness, roughness, ruggedness",,,
手頃,てごろ,"moderate, handy",,,
弟子,でし,"pupil, disciple, apprentice",,,
手帳,てちょう,notebook,,,
鉄橋,鉄[てっ]橋[きょう],iron bridge,,,
鉄砲,鉄[てっ]砲[ぽう],gun,,,
テニスコート,テニスコート,tennis court,,,
手拭い,てぬぐい,(hand) towel,,,
手前,てまえ,"before, this side",,,
出迎え,でむかえ,"meeting, reception",,,
照らす,てらす,"to shine on, to illuminate",,,
照る,てる,to shine,,,
～点,～てん,counter for scores,,,
展開,てんかい,"develop, expansion (opposite of compression)",,,
伝記,でんき,"biography, life story",,,
電球,でんきゅう,light bulb,,,
点数,てんすう,"marks, points, score",,,
電池,でんち,battery,,,
点々,てんてん,"here and there, little by little",,,
転々,てんてん,from one to another,,,
電柱,でんちゅう,"telephone pole, telegraph pole, light pole",,,
ほんわか,ほんわか,wholesome,,,
原因,原[げん]因[いん],cause; origin; source,,,
発言,発[はつ]言[げん],statement; remark; observation; utterance; speech; proposal​,,,
開催,開[かい]催[さい],"holding (a conference, exhibition, etc.); opening; hosting (e.g. the Olympics)​",,,
偶に,偶[たま]に,occasionally; once in a while; now and then; rarely; seldom,,,
継ぐ,継[つ]ぐ,to inherit; to take over; to succeed,t,,
地元[,地[じ]元[もと],home area; home town​,,,
倒れる,倒[たお]れる,"to be confined to bed (with an illness); to come down with; to break down (e.g. from overwork)​<br>to fall (over, down); to collapse; to take a fall; to topple",i,,
待遇,待[たい]遇[ぐう],treatment; reception; service​: used as suffix<br>working conditions; salary; pay; remuneration​<br>benefits,suru,,
呼吸,呼[こ]吸[きゅう],breathing,suru,,
認識,認[にん]識[しき],"cognition, awareness",,,
触る,触[さわ]る,to touch; to feel,,,
必然,必[ひつ]然[ぜん],inevitable; necessary; certain,,,
複雑,複[ふく]雑[ざつ],complex; complicated; intricate,,,
単純,単[たん]純[じゅん],simple; plain; uncomplicated; straightforward​,,,
無職,無[む]職[しょく],unemployed; jobless,,,
提出,提[てい]出[しゅつ],"presentation, submission (of documents)",,,
技術,技[ぎ]術[じゅつ],technology; engineering​,,,
燃費,燃[ねん]費[ぴ],fuel consumption; gas mileage,,,
暮らす,暮[く]らす,to live; to get along;​to spend (time)​,,,
連れる,連[つ]れる,to take (someone) with one; to bring along; to go with; to be accompanied by​,t,,
環境,環[かん]境[きょう],environment; circumstance,,,
原則,原[げん]則[そく],principle; general rule<br>as a rule; in principle; in general　（ として）,,,
手術,手[しゅ]術[じゅつ],surgery; operation; procedure,suru,,
もったいない,,wasteful; a waste,,,
特技,特[とく]技[ぎ],special skill,,,
特徴,特[とく]徴[ちょう],feature; trait; characteristic,,,
維持,維[い]持[じ],maintenance; preservation; improvement,,,
 コツコツ,コツコツ,unflaggingly; steadily; untiringly; laboriously,,,
受身,受[うけ]身[み],the defensive、passive attitude; passivity; passiveness​<br>passive voice​,,,
実際,実[じっ]際[さい],truly; really; indeed; actually​<br>reality; actuality; truth; fact,,,
部分,部[ぶ]分[ぶん],portion; section; part​,,,
時間帯,時[じ]間[かん]帯[たい],period of time; time slot; time zone​,,,
摂氏,摂[せっ]氏[し],Celsius; centigrade,,,
~差,~ 差[さ],difference; variation (suffix),,,
発祥,発[はっ]祥[しょう],origin​,する,,
典型的,典[てん]型[けい]的[てき],typical; representative; archetypal; quintessential; stereotypical; model​,,,
済ませる,済[す]ませる,to finish; to make an end of; to get through with; to let end​,,,
免疫,免[めん]疫[えき],immunity; immunization,,,
集団,集[しゅう]団[だん],group; mass,,,
状況,状[じょう]況[きょう],state of affairs (around you); situation; circumstances,,,
遠近法,遠[えん]近[きん]法[ほう],perspective,,,
注射,注[ちゅう]射[しゃ],injection; jab; shot,"t, する",,
支持,支[し]持[じ],support; backing; endorsement; approval,"t, suru",,
報告,報[ほう]告[こく],report; information​,"t, する",,
遠慮,遠[えん]慮[りょ],reserve; constraint; restraint; modesty; diffidence; hesitation; holding back; discretion; tact; thoughtfulness,する,,
脳,脳[のう],brain,,,
宣言,宣[せん]言[げん],declaration; proclamation; announcement,する,,
安定,安[あん]定[てい],stability; steadiness; equilibrium,,,
途上国,途[と]上[じょう]国[こく],developing country,,,
協力,協[きょう]力[りょく],cooperation; collaboration,する,,
貿易&nbsp; &nbsp; &nbsp; &nbsp;,貿[ぼう]易[えき],trade (foreign)​,,,
民主主義,民[みん]主[しゅ]主[しゅ]義[ぎ],democracy​,,,
玉蜀黍,玉蜀黍[とうもろこし],maize,,,
望む,望[のぞ]む,"to desire, wish for, expect",,,
相応しい,相応[ふさわ]しい,"appropriate, adequate, suitable, fitting, worthy",,,
感触,感[かん]触[しょく],"feel (i.e. tactile sensation); touch; feeling; sensation; texture (e.g. food, cloth)​",suru,,
埃,埃[ほこり],dust,,,
唐辛子&nbsp; &nbsp; &nbsp; &nbsp;,唐[とう]辛[がら]子[し],red pepper,,,
粉,粉[こな],flour,,,
国境,国[こっ]境[きょう],national border,,,
地域,地[ち]域[いき],area; region​,,,
生息地,生[せい]息[そく]地[ち],habitat,,,
脂肪,脂[し]肪[ぼう],"fat, grease",,,
熱中症,熱[ねっ]中[ちゅう]症[しょう],heatstroke,,,
募金,募[ぼ]金[きん],fund-raising; collection of funds,,,
支援,支[し]援[えん],support; backing; aid; assistance​,,,
教育&nbsp;,教[きょう]育[いく],education; schooling; training;,n,,
難&nbsp;,難[なん],difficulty; trouble; hardship,,,
食糧難,食[しょく]糧[りょう]難[なん],food shortage,,,
出席,出[しゅっ]席[せき],attendance,,,
改札,改[かい]札[さつ],"examination of tickets, ticket gate",suru,,
同音異義語,同[どう]音[おん]異[い]義[ぎ]語[ご],homophone,,,
材料,材[ざい]料[りょう],"ingredients, material",,,
満足,満[まん]足[ぞく],"satisfaction, sufficient",,,
努力,努[ど]力[りょく],effort; exertion; endeavour,"i, suru",,
箱,箱[はこ],box,,,
特定,特[とく]定[てい],specific; particular;,,,
干ばつ,干[かん]ばつ,<div> <div>drought<br>  </div></div>,,,
警報,警[けい]報[ほう],alarm; warning,,,
断食,断[だん]食[じき],fasting,,,
祝う,祝[いわ]う,<div> <div>to celebrate; to congratulate<br>  </div></div>,t,,
刑務所,刑[けい]務[む]所[しょ],prison,,,
団体,団[だん]体[たい],organization; association​,,,
信憑性,信[しん]憑[ぴょう]性[せい],authenticity; credibility,,,
会員制,会[かい]員[いん]制[せい],membership-based​,,,
段階,段[だん]階[かい],grade; level; stage; class; phase,,,
磁気,磁[じ]気[き],magnetism​,,,
磁石,磁石[じしゃく],magnet​,,,
西洋,西[せい]洋[よう],West,,,
先進国,先[せん]進[しん]国[こく],developed country,,,
曖昧,曖[あい]昧[まい],"vague, ambiguous, unclear",,,
勤勉,勤[きん]勉[べん],"diligent, industrious",,,
衛生,衛[えい]生[せい],"hygiene, sanitation",,,
うつ病,うつ 病[びょう],depression,,,
貧しい,貧[まず]しい,poor,,,
裕福,裕[ゆう]福[ふく],"wealthy, rich",,,
平等,平[びょう]等[どう],equality,,,
抑止,抑[よく]止[し],"check, stave off, control",,,
つながる,つながる,"to be tied together, connected to, linked to (I)",,,
階層,階[かい]層[そう],"class, hierarchy",,,
駐車,駐[ちゅう]車[しゃ],parking,,,
囚人,囚[しゅう]人[じん],prisoner,,,
脱却,脱[だっ]却[きゃく],"overcome, outgrow, rid oneself, free oneself",する,,
誇張,誇[こ]張[ちょう],exaggeration,,,
胡散臭い,胡[う]散[さん]臭[くさ]い,"suspicious, shady, questionable",,,
先延ばし,さきのばし,procrastination,,,
信用,信[しん]用[よう],confidence,,,
損,損[そん],"loss, harm",,,
こだわる,こだわる,"<span class=""meaning-meaning"">to be obsessive about; to be fixated on</span><span>​, </span>t<span class=""meaning-meaning"">o fuss over; to be particular about</span><span>​</span>",i,,
"<span class=""text"">事情</span>",事[じ]情[じょう],"<div><span class=""furigana""><span class=""meaning-meaning"">circumstances; conditions; situation; reasons; state of affairs</span><span>​</span></span></div>",,,
"<span class=""hilite_1"" style="""">くぐる</span>",くぐる,"<span class=""meaning-meaning"">to go under; to pass under; to go through; to pass through<br></span>",i,,
"<span class=""text"">屋台</span>",屋[や]台[たい],"<div><span class=""furigana""><span class=""meaning-meaning"">cart (esp. a food cart); stall; stand</span><span>​</span></span></div>",,,
競馬場,競[けい]馬[ば]場[じょう],racetrack,,,
水玉,水[みず]玉[たま],<div>polka dots<br></div>,,,
被害を与える,被[ひ]害[がい]を 与[あた]える,<div>suffering damage or harm<br></div>,,,
営む,（いとな）む,"to operate, to run (a business)",,,
分担,分[ぶん]担[たん],"to allocate, divide (work, expenses)",する,,
提供する,ていきょう,"offer, provide, sponsor",,,
存続する,そんぞく,persist,,,
より良い,よりよい,better,,,
見放す,みはなす,"abandon, give up on",,,
円滑に,えんかつに,smoothly,,,
拠点,拠[きょ]点[てん],"base (of operations), hub (of activity)",,,
人権侵害,じんけんしんがい,human rights violations,,,
株主,かぶぬし,shareholder(s),,,
子会社,こがいしゃ,subsidiary (company),,,
法人,ほうじん,corporate body; corporation,,,
合名会社,ごうめいがいしゃ,unlimited partnership company,,,
合資会社,ごうしがいしゃ,limited partnership,,,
合同会社,ごうどうがいしゃ,limited liability company (company structure for small businesses),,,
取締役会,とりしまりやくかい,board of directors,,,
対価,たいか,compensation (for something done); value/price of something,,,
不正行為,ふせいこうい,an illegal act; misconduct,,,
見る目,みるめ,the looks/public opinions of others,,,
定着率,ていちゃくりつ,retention rate; stability,,,
新卒採用,しんそつさいよう,the act of employing new graduates,,,
多岐,たき,"digression, divergence",,,
従業員,じゅうぎょういん,employee,,,
倒産,とうさん,bankrupcy,,,
配慮,はいりょ,"consideration, concern, attention",,,
廃業,はいぎょう,"closing down (a business), discontinuation (of business)",,,
株式会社,かぶしきがいしゃ,limited liability company (llc),,,
税理士,ぜいりし,licensed tax accountant,,,
行政書士,ぎょうせいしょし,"licensed administrative scrivener (in East Asia), or administrative procedures legal specialist",,,
司法書士,しほうしょし,"licensed judicial scrivener (in East Asia), or judicial specialist",,,
社会保険労務士,かいしゃほけんろうむし,"licensed social insurance consultant, or labor and social security attorney",,,
官公庁,かんこうちょう,government and municipal offices,,,
定款,ていかん,(company) statutes,,,
価値創造,かちそうぞう,value creation,,,
出資,しゅっし,investment,,,
取り巻く,とりまく,to surround,,,
持続的な,じぞくてきな,Sustainable,,,
価格基準,かかくきじゅん,Price standard,,,
グローバル化,ぐろーばるか,Globalization,,,
推進,すいしん,"propulsion, drive; promotion, furtherance, implementation",,,
掲げる,かかげる,"to put up (a sign, notice, etc.); to hold up (an ideal, principle, etc.)",,,
実業家,じつぎょうか,"businessman, entrepreneur",,,
流通,りゅうつう,"circulation  (of money, goods)",,,
利害関係者,りがいかんけいしゃ,stakeholder,,,
使命,しめい,mission,,,
則る,のっとる,"to conform to / to follow (rules, traditions)",,,
<table><tbody><tr><td>実写</td><td><br></td><td></td></tr></tbody></table>,実[じっ]写[しゃ],live action (as opposed to animation),,,
軽々,軽[かる]々[がる],"thoughtlessly, carelessly, lightly",,,
吟味する,ぎんみ（する）,Invest/examine carefully,,,
バラつき,ばらつき,"scattered, uneven, varied, dispersed",,,
手待ち,てまち,"downtime, waiting time",,,
歩留まり,ぶどまり,yield rate,,,
成果,せいか,Achievement,,,
改善策,かいぜんさく,Improvement plan,,,
着眼点,ちゃくがんてん,Focus,,,
原価,げんか,"Cost, Unit cost, Purchase cost",,,
行動変容,こうどうへんよう,Behavior change,,,
検証する,けんしょう,verification; (to verify),,,
基づく,もとづく,base on,,,
実行,じっこう,"Execution, carrying out, practice, implementation","Suru, t",理論や計画などの,
手順,てじゅん,procedure,,,
強制的,きょうせいてき,compulsory,,,
ダラリ,だらり,"from ３ム：むだ、むら、むり inefficiency, inconsistency, impossibility",,,
ループ型のモデル,るーぷがたのもでる,"based on matching with the english article: iterative, potential definition: feedback loop",,,
エスノグラフィックアプローチ,えそのぐらふぃっくあぷろーち,ethnographic approach,,,
産物,さんぶつ,"a product of s.t., produce, result",,"Can refer to physical produce (e.g. fruit), but also the product of efforts, etc.",
指標,しひょう,"index, indicator",,The baseline for some evaluation/standard,
培う,培[つちか]う,"to cultivate, to foster",,"Can be used for abilities, skills, etc.",
事例,じれい,"example, precedent, case",,,
且つ,かつ,and,,且つ＝A AND B；及び＝A OR B；と＝どちらの場合も考えられます。（正式な書類には「と」は使われません。 意味があいまいだからです。）,
提唱,提[てい]唱[しょう],"Advocacy, proposal<br>To advocate, propose",suru,,
進捗,進[しん]捗[ちょく],to be underway; to be progressing (well),suru,connotation of doing well -- positively assessed progress<br>,
闇雲,闇[やみ]雲[くも],haphazard(ly); at random,ni,"(as opposed to in a methodical or logical, well informed manner)",
仮説,仮[か]説[せつ],hypothesis,,,
復唱,復[ふく]唱[しょう],repeat,suru,someone's words,
人材育成,人[じん]材[ざい]育[いく]成[せい],Human resource training,,,
下図,下[か]図[ず],The figure pictured below,,usually refering to a graph being show on screen in a presentation,
集約,集[しゅう]約[やく],Summarizie / compile together,,Often used with する　集約する,
中堅社員,中[ちゅう]堅[けん]社[しゃ]員[いん],Mid-level employee / core employees,,This term refers to employees who are well established at a company and have been working there for a fairly long time. Think mid-level management.,
把握,把[は]握[あく],"To grasp, catch, understand",suru,,
納期,納[のう]期[き],"Time of delivery, payment, appointed day of delivery",,,
期限,期[き]限[げん],"Time frame, time limit",,,
自動化,自[じ]動[どう]化[か],Automation,,,
優先順位,優[ゆう]先[せん]順[じゅん]位[い],"priority, order of precidence",,,
明確化,明[めい]確[かく]化[か],clarification (to clarify),suru,,
考案,考[こう]案[あん],"devise (a plan, a method)",,する,
軌道修正,軌[き]道[どう]修[しゅう]正[せい],course correction,,四字熟語、also closely corresponds to English equivalent,
領域,領[りょう]域[いき],area; field (of study),,"I saw this a lot as ""O2O領域” meaning ""in the field/area of O2O (online-to-offline)""",
顧客経験価値,こきゃくけいけんかち,customer experience (CX),,,
浸透,浸[しん]透[とう],"to permeate, to infiltrate",suru,"Can be used for thoughts, concepts, etc.",
短縮,短[たん]縮[しゅく],"to shorten, to reduce, to cut down on",suru,時間短縮ー＞時短,
成果物,成[せい]果[か]物[ぶつ],deliverables,,,
指針,指[し]針[しん],"needle (compass, gauge, etc.), indicator; guiding principle, guideline",,,
火薬,火[か]薬[やく],gunpower,,,
婿,婿[むこ],"husband, groom",,,
凛々しい,凛々[りり]しい,"gallant, brave, awesome",,,
離す,離[はな]す,"to separate, part, divide",,,
刺繍,刺[し]繍[しゅう],embroidery,,,
過保護,過保護[かほご],overprotective,,,
頼りない,頼[たよ]りない,"unreliable, undependable",,,
堂々,堂々[どうどう],"magnificent, impressive, fair",adv,,
放す,放[はな]す,"to let go of, release, relinquish",,,
扱い,扱[あつか]い,"treatment, handling, dealing with",,,
投げる,投[な]げる,to throw,t,,
旅程,旅程[りょてい],"travel plans, itinerary",n,,
証,証[あかし・しょう],"proof, evidence・certificate, license",n,,
印象,印[いん]象[しょう],"stamp, seal",n,,
贈る,贈[おく]る,"to give, bestow",t,,
そもそも,そもそも,"in the first place, to begin with, after all","adv, conj",,
連れ回す,連[つ]れ 回[まわ]す,"to take someone one place after another forcibly, to drag someone around",t,,
中途半場,中途半場[ちゅうとはんば],"halfhearted, half measures",na,,
砂糖,砂[さ]糖[とう],sugar,n,,
欠落,欠[けつ]落[らく],"missing, lacking","suru, i",,
駆け落ち,駆[か]け 落[お]ち,to elope,"suru, i",,
常識,常[じょう]識[しき],common sense,n,,
再婚,再[さい]婚[こん],remarriage,"suru, i",,
不図,不[ふ]図[と],"suddenly, casually, incidentally, unintentionally",adv,,
無事,無[ぶ]事[じ],"safety, peace, security",na,,
黙る,黙[だま]る,"to be silent, say nothing",i,,
訪ねる,訪[たず]ねる,to pay a visit to,t,,
草原,草[そう]原[げん],"grassland, savannah",n,,
狩る,狩[か]る,to hunt,t,,
旅,旅[たび],travel; trip; journey,,,scraped
ぽっかり,ぽっかり,lightly<br>gaping wide<br>suddenly; unexpectedly,,,scraped
折,折[おり],"opportunity; chance; occasion; time<br>folding; fold; pleat; crease<br>small food box (wooden or cardboard)<br>folding in ... (two, three, etc.)<br>counter for folded items<br>counter for items (esp. food) packed in an oribako<br>折り 【おり】",,,scraped
往々,往々[おうおう],sometimes; often,,,scraped
看過,看[かん]過[か],overlooking; turning a blind eye<br>観過 【かんか】,,,scraped
全編,全[ぜん]編[ぺん],whole book (volume); complete episode<br>全篇 【ぜんぺん】,,,scraped
産気,産[さん]気[け],labor pains; labour pains,,,scraped
習慣,習[しゅう]慣[かん],habit<br>(social) custom; practice; convention,,,scraped
区々,区々[まちまち],various; diverse; different; divergent; divided; conflicting,,,scraped
思える,思[おも]える,to seem; to appear likely,,,scraped
欠く,欠[か]く,to chip; to nick; to break; to crack<br>to lack<br>闕く 【かく】,,,scraped
退屈,退[たい]屈[くつ],tedium; boredom; dullness<br>to feel bored; to get bored with; to get tired of<br>Boredom<br>怠屈 【たいくつ】,,,scraped
時化,時[し]化[け],stormy weather (at sea)<br>poor catch of fish (due to stormy seas)<br>poor turn-out; recession,,,scraped
漁,漁[りょう],"fishing; gathering seafood (e.g. clams, seaweed)<br>catch (e.g. of fish); haul",,,scraped
大人しい,大人[おとな]しい,"gentle; quiet; mild; meek; obedient; docile; well-behaved; tame<br>quiet (color, pattern, etc.); sober<br>温和しい 【おとなしい】",,,scraped
町,町[まち],town; block; neighbourhood; neighborhood<br>downtown; main street<br>street; road<br>街 【まち】,,,scraped
流し,流[なが]し,"sink (e.g. in a kitchen)<br>cruising (e.g. taxi); strolling (entertainer, musician, etc.)<br>washing area (in a Japanese-style bath)<br>back-washing service (in a public bath)<br>floating (something on water); setting adrift; washing away",,,scraped
楽団,楽[がく]団[だん],orchestra; band,,,scraped
軽業,軽[かる]業[わざ],acrobatics; risky undertaking,,,scraped
台所,台所[だいどころ],kitchen<br>financial situation<br>Kitchen,,,scraped
壁,壁[かべ],"wall; partition<br>barrier; obstacle<br>Chinese ""Wall"" constellation (one of the 28 mansions)<br>Wall<br>壁 【へき】",,,scraped
煙,煙[けむり],smoke; fumes,,,scraped
篭る,篭[こも]る,"to shut oneself in (e.g. one's room); to be confined in; to seclude oneself; to hide away; to stay inside (one's shell)<br>to be filled with (emotion, enthusiasm, etc.)<br>to fill the room (of a gas, smell, etc.); to be heavy with (e.g. smoke); to be stuffy; to be dense<br>to be muffled (e.g. voice)<br>to hold (a castle, fortress, etc.)<br>to confine oneself in a temple to pray",,,scraped
減る,減[へ]る,to decrease (in size or number); to diminish; to abate,,,scraped
財布,財[さい]布[ふ],purse; handbag; wallet<br>Wallet,,,scraped
家来,家[け]来[らい],retainer; retinue; servant,,,scraped
持て成す,持[も]て 成[な]す,to entertain; to make welcome<br>持てなす 【もてなす】,,,scraped
庭,庭[にわ],garden; yard; courtyard<br>field (of action); area,,,scraped
観覧車,観覧車[かんらんしゃ],Ferris wheel,,,scraped
交わす,交[か]わす,"to exchange (messages, greetings, arguments, etc.)<br>to intersect; to cross; to interlace<br>... with one another; ... to each other<br>交す 【かわす】",,,scraped
一気に,一気[いっき]に,in one go; in one gulp; in one breath; without stopping; without pausing; without resting; in one sitting; at a stretch; all at once<br>immediately; instantly; right away; straight away; straightaway,,,scraped
留守,留守[るす],"absence; being away from home<br>house-sitting; house-sitter<br>being left unattended to (of one's studies, etc.); neglecting<br>留主 【るす】",,,scraped
夫れ夫れ,夫[そ]れ 夫[ぞ]れ,each; respectively,,,scraped
性質,性[せい]質[しつ],nature; property; disposition,,,scraped
過敏,過[か]敏[びん],nervousness; oversensitivity,,,scraped
興,興[きょう],interest; entertainment; pleasure,,,scraped
一見,一見[いっけん],look; glimpse; glance<br>apparently; seemingly; at first glance; on the face of it<br>first meeting,,,scraped
仕込み,仕込[しこ]み,training; education; upbringing<br>stocking up; laying in<br>preparation (e.g. ingredients),,,scraped
仕上がり,仕上[しあ]がり,finish; end; completion; result,,,scraped
鍛え,鍛[きた]え,forging; tempering<br>drilling; training; disciplining,,,scraped
知恵,知恵[ちえ],wisdom; wit; sagacity; sense; intelligence<br>prajna (insight leading to enlightenment)<br>Wisdom,,,scraped
一族,一族[いちぞく],family; relatives; dependents<br>household,,,scraped
率いる,率[ひき]いる,to lead; to spearhead (a group); to command (troops),,,scraped
牡馬,牡[ぼ]馬[ば],male horse,,,scraped
漁場,漁[ぎょ]場[じょう],fishing grounds; permitted fishing zone,,,scraped
済む,済[す]む,to finish; to end; to be completed<br>to merely result in something less severe than expected<br>to feel at ease<br>to feel unease or guilt for troubling someone; to be sorry<br>濟む 【すむ】,,,scraped
奪い合う,奪[うば]い 合[あ]う,to scramble for; to struggle for; to contend for; to fight for,,,scraped
潮,潮[しお],tide; current<br>sea water<br>opportunity; chance,,,scraped
夫君,夫[ふ]君[くん],(another's) husband,,,scraped
許し,許[ゆる]し,pardon; forgiveness; exemption; permission<br>赦し 【ゆるし】,,,scraped
嫁ぐ,嫁[とつ]ぐ,to marry (of a woman); to become a bride; to marry into (a family)<br>to have sexual intercourse,,,scraped
余裕,余[よ]裕[ゆう],surplus; margin; leeway; room; space; time; allowance; flexibility; scope<br>composure; placidity; complacency; calm,,,scraped
施し,施[ほどこ]し,charity; almsgiving,,,scraped
行為,行[こう]為[い],act; deed; conduct,,,scraped
船頭,船[せん]頭[どう],boatman; ferryman,,,scraped
支度,支[し]度[たく],preparation; arrangements<br>仕度 【したく】,,,scraped
木彫,木[もく]彫[ちょう],wood carving; wooden sculpture; woodcraft,,,scraped
本の,本[ほん]の,mere; only; just; slight,,,scraped
物事,物[もの]事[ごと],things; everything,,,scraped
埋まる,埋[う]まる,"to be buried; to be covered; to be surrounded<br>to overflow; to be crowded; to be filled<br>to be repaid (e.g. debt); to be replenished<br>to be filled (e.g. blank, vacancy, schedule)<br>埋まる 【うずまる】",,,scraped
凝乎と,凝乎[じっ]と,"motionlessly (e.g. stand, wait); (be) still<br>fixedly (e.g. gaze, stare); intently (e.g. listen, think)<br>patiently (endure); stoically<br>firmly (e.g. hold); restrained",,,scraped
暴れまわる,暴[あば]れまわる,to rampage; to run riot​,i,,scraped
小麦,小麦[こむぎ],wheat,,,scraped
塗れ,塗[まみ]れ,covered with; stained; smeared<br>塗れ 【まぶれ】,,,scraped
鷹狩り,鷹[たか]狩[が]り,falconry,,,scraped
伸びる,伸[の]びる,"to stretch; to extend; to lengthen; to grow (of hair, height, grass, etc.)<br>to straighten out; to be flattened; to become smooth<br>to spread (of paint, cream, etc.)<br>to stretch out (e.g. of a hand); to extend<br>to lose elasticity; to become slack; to become soggy (e.g. noodles)<br>to make progress; to develop; to expand; to increase; to improve<br>to be exhausted; to be groggy; to pass out; to collapse<br>to be prolonged (meeting, life span, etc.); to be extended (e.g. deadline); to lengthen (e.g. of the days)<br>to be postponed; to be delayed; to be put off<br>延びる 【のびる】",,,scraped
空く,空[す]く,to become less crowded; to thin out; to get empty<br>to be hungry,,,scraped
拗ねる,拗[す]ねる,to be peevish; to sulk; to pout,,,scraped
香油,香[こう]油[ゆ],pomade; balm; perfumed oil,,,scraped
唆る,唆[そそ]る,to excite; to incite; to stimulate; to arouse; to tempt; to stir up,,,scraped
生涯,生[しょう]涯[がい],life; lifetime; career<br>for life; all one's life; throughout one's life; as long as one lives,,,scraped
鉛,鉛[なまり],lead (Pb),,,scraped
巡礼,巡[じゅん]礼[れい],pilgrimage; pilgrim,,順礼 【じゅんれい】,scraped
信心深い,信[しん]心[じん]深[ぶか]い,deeply religious; devout; godly; faithful,,,scraped
聖地,聖[せい]地[ち],sacred place; holy ground; the Holy Land,,,scraped
悲願,悲[ひ]願[がん],one's dearest wish<br>Buddha's vow to save humanity,,,scraped
丁寧,丁[てい]寧[ねい],polite; courteous; civil<br>careful; close; thorough; conscientious<br>叮嚀 【ていねい】,,,scraped
山々,山々[やまやま],(many) mountains<br>very much (wanting to do something one cannot); greatly; really<br>so many; a lot of<br>Yamayama<br>山山 【やまやま】,,,scraped
寄る,寄[よ]る,"to approach; to draw near; to come near; to be close to<br>to gather (in one place); to come together; to meet<br>to stop by (while on one's way to another place); to drop by; to make a short visit<br>to grow old; to grow high (number, etc.)<br>to grow (wrinkly)<br>to lean against; to recline on<br>to push one's opponent while holding their belt<br>to decide on a price and come to a deal<br>to be swayed by (a person); to yield to",,,scraped
漏れる,漏[も]れる,to leak out; to escape; to come through; to shine through; to filter out<br>to find expression; to give vent<br>to leak out; to be divulged; to be disclosed<br>to be omitted; to be left out; to be excluded; to be not included<br>洩れる 【もれる】,,,scraped
懐,懐[ふところ],inside the breast of one's clothing (esp. kimono); bosom; (breast) pocket<br>space between one's chest and outstretched arms; (one's) reach<br>heart (e.g. of a mountain); bosom (e.g. of nature); depths; inner part<br>mind; heart; inner thoughts<br>money (one is carrying); purse; pocketbook<br>懷 【ふところ】,,,scraped
落ち落ち,落[お]ち落[お]ち,quietly; calmly; comfortably; peacefully<br>オチオチ,,,scraped
正直,正[しょう]直[じき],honest; frank; candid; straightforward<br>honestly; frankly<br>Honesty,,,scraped
現れる,現[あらわ]れる,"to appear; to come in sight; to become visible; to come out; to embody; to materialize; to materialise<br>to be expressed (e.g. emotions); to become apparent (e.g. trends, effects)",,,scraped
人柄,人柄[ひとがら],personality; character; personal appearance; gentility,,,scraped
不思議,不思議[ふしぎ],wonderful; marvelous; strange; incredible; amazing; curious; miraculous; mysterious<br>strangely enough; oddly enough; for some reason; curiously,,,scraped
異国,異国[いこく],foreign country,,,scraped
尾,尾[お],"tail (of an animal)<br>tail (of a kite, etc.); tail end<br>tail (of a comet)<br>slope at the foot of a mountain",,,scraped
光栄,光[こう]栄[えい],honour; honor; glory; privilege,,,scraped
度々,度[たび]々[たび],often; again and again; over and over again; repeatedly; frequently,,,scraped
歓迎,歓[かん]迎[げい],welcome; reception,,,scraped
護衛,護[ご]衛[えい],guard; convoy; escort,,,scraped
遠路,遠[えん]路[ろ],long way; great distance,,,scraped
遥々,遥々[はるばる],from afar; over a great distance; all the way,,,scraped
越す,越[こ]す,to cross over (e.g. mountain); to go across<br>to get over (e.g. hardship)<br>to pass time (e.g. a winter)<br>to surpass; to be better than; to exceed<br>to move house<br>to go; to come<br>超す 【こす】,,,scraped
分かち合う,分[わ]かち 合[あ]う,to share,t,,scraped
義父,義父[ぎふ],father-in-law<br>foster father<br>stepfather,,,scraped
気をそらす,気[き]をそらす,to distract,,その物音で読書の気をそらされた。,scraped
余程,余[よ]程[ほど],very; greatly; much; to a large extent; quite<br>just about to; almost; very nearly,,,scraped
親愛,親[しん]愛[あい],deep affection<br>dear; beloved,,,scraped
旅路,旅[たび]路[じ],journey; route of a journey,,,scraped
ごっこ,ごっこ,playing at (something); game of make-believe; something done together,,,scraped
変わっている,変[か]わっている,to be unusual (of a person or thing); to be uncommon; to be peculiar; to be eccentric; to be different​,,,scraped
親切,親切[しんせつ],kind; gentle; considerate; generous; friendly; nice<br>深切 【しんせつ】,,,scraped
調度,調度[ちょうど],household items; furniture; furnishings; fixtures; supplies,,,scraped
中庭,中庭[なかにわ],courtyard; quadrangle; middle court,,,scraped
泉,泉[いずみ],spring; fountain,,,scraped
断る,断[ことわ]る,to refuse; to reject; to dismiss; to turn down; to decline<br>to inform; to give notice; to tell in advance<br>to ask leave; to excuse oneself (from),,,scraped
板,板[いた],board; plank<br>sheet (of metal); plate (of glass); pane; slab<br>cutting board; chopping board<br>chef (esp. of high-end Japanese cuisine); cook<br>stage (i.e. at a theatre),,,scraped
聖者,聖[せい]者[じゃ],saint,,,scraped
本人,本人[ほんにん],the person in question; the person themselves; said person,,,scraped
人前,人前[ひとまえ],presence of other people; (in) public; (in) front of others,,,scraped
寂しい,寂[さび]しい,lonely; lonesome; solitary; desolate,,,scraped
